1.5,1.53,What type of computer system are you using?,1.54,1.59,"I'm using a ThinkCenter eighty two, made by Lenovo."
2,2.03,Please tell me whether I am wearing glasses or not.,2.04,2.05,You are not wearing glasses.
2.07,2.09,What color clothes did you wear yesterday?,2.11,2.14,I had a red shirt and jeans.
2.15,2.17,What is twelve plus nineteen?,2.18,2.19,Thirty one.
2.21,2.26,"Did you ever steal anything in your whole life, and if so, what was it?",2.29,2.34,I see. I stole some beer off a beer truck when I was fourteen.
2.4,2.41,What was your image?,2.45,2.5,That's sort of obvious. It was a railroad.
2.51,2.54,Could you give me some more details about the image?,2.55,3.04,"Um. It was made of steel and wood. Ah. It was long, and."
3.05,3.11,If there were something to count in the image. What would it be? What would it be the count?,3.14,3.25,"Ah. Well, it was a track mainly so it wassort of endless. Two rails and ah, twenty ties, I guess."
3.26,3.29,Are there any other objects in the image?,3.3,3.35,Just the earth and the sky. Some trees.
3.35,3.38,What are the colors in the image?,3.41,3.5,"Um. Green, and blue, and ah, brown, grey, little black."
3.51,3.55,Please tell me about the background in your image.,3.56,4.06,"The background is trees. It's a, um, photograph of a, of a rural track, and it hit in a countryside."
4.07,4.11,Where do you think the image was photographed or drawn?,4.13,4.2,"Yeah. Pretty much around the country somewhere. North America, North Hemisphere anyway."
4.21,4.23,Please tell me about the lighting in your image.,4.25,4.31,"It was ah, daylight, bright sky. I didn't see the sun in the image but."
5.34,5.39,Were there any animals in the picture?,5.41,5.42,I don't believe so.
6.11,6.19,Was the railroad just going off into the distance like head on? Or was it going like across the side? Or what kind of angle is it shot from?,6.2,6.22,It was like a forty five degree angle.
6.23,6.25,So kind of diagonally across the picture?,6.26,6.51,"Yeah. En uh. It was like you are standing on, on the ah. What's word? Not bluff but , Ah, the ah, the beam. The burn. The burn. Yeah. You know the. Where they ah, built the rails around it. Could have been the right word."
